LEAD_ID,DATE,TEN_SP,SO_HOP_DONG,COMMISION
14137910,2023-06-05,CS RL LG TS 37,1000323060008488,1055000
14139955,2023-06-06,CS RL LG TS 37,1000323060008321,1055000
14126172,2023-06-02,CS RL LG TS 37,1000323060007899,1055000
14198065,2023-06-25,CS RL LG TS 37,1000323060038395,1055000
14194109,2023-06-23,CS RL LG TS 37,1000323060037402,791250
14190361,2023-06-22,CS RL LG TS 37,1000323060034250,791250
14181583,2023-06-19,CS RL LG TS 37,1000323060033962,1055000
14188744,2023-06-21,CS RL LG TS 37,1000323060033741,1055000
14190272,2023-06-22,CS RL LG TS 37,1000323060033717,1055000
14187031,2023-06-21,CS RL LG TS 37,1000323060033580,1055000
14187684,2023-06-21,CS RL LG TS 37,1000323060033351,791250
14189014,2023-06-22,CS RL LG TS 37,1000323060032753,1055000
14189430,2023-06-22,CS RL LG TS 37,1000323060032699,1055000
14186365,2023-06-21,CS RL LG TS 37,1000323060032419,527500
14188369,2023-06-21,CS RL LG TS 37,1000323060032192,1055000
14188273,2023-06-21,CS RL LG TS 37,1000323060032125,527500
14187369,2023-06-21,CS RL LG TS 37,1000323060031731,1055000
14185181,2023-06-20,CS RL LG TS 37,1000323060031293,527500
14141351,2023-06-07,CS RL LG TS 37,1000323060027172,1055000
14202519,2023-06-26,CS RL LG TS 37,1000323060039987,1055000
14200995,2023-06-26,CS RL LG TS 37,1000323060039774,1055000
14195211,2023-06-24,CS RL LG TS 37,1000323060037071,527500
14191228,2023-06-22,CS RL LG TS 37,1000323060036988,1055000
14193772,2023-06-23,CS RL LG TS 37,1000323060036686,1055000
14190669,2023-06-22,CS RL LG TS 37,1000323060036571,1055000
14194277,2023-06-23,CS RL LG TS 37,1000323060036554,1055000
14193769,2023-06-23,CS RL LG TS 37,1000323060036082,791250
14191166,2023-06-22,CS RL LG TS 37,1000323060035744,527500
14176137,2023-06-17,CS RL LG TS 37,1000323060035434,791250
14185345,2023-06-20,CS RL LG TS 37,1000323060035094,1055000
14182124,2023-06-20,CS RL LG TS 37,1000323060035078,1055000
14192551,2023-06-23,CS RL LG TS 37,1000323060035051,1055000
14192252,2023-06-23,CS RL LG TS 37,1000323060035027,1055000
14190651,2023-06-22,CS RL LG TS 37,1000323060034594,791250
14173955,2023-06-17,CS RL LG TS 37,1000323060024661,1055000
14174531,2023-06-17,CS RL LG TS 37,1000323060024637,527500
14174840,2023-06-17,CS RL LG TS 37,1000323060024459,1055000
14172822,2023-06-16,CS RL LG TS 37,1000323060024114,527500
14174507,2023-06-17,CS RL LG TS 37,1000323060024068,1055000
14173831,2023-06-17,CS RL LG TS 37,1000323060023819,1055000
14169041,2023-06-15,CS RL LG TS 37,1000323060023665,1055000
14169425,2023-06-15,CS RL LG TS 37,1000323060023541,1055000
14172175,2023-06-16,CS RL LG TS 37,1000323060023452,1055000
14163470,2023-06-14,CS RL LG TS 37,1000323060023428,1055000
14170302,2023-06-15,CS RL LG TS 37,1000323060023401,1055000
14168536,2023-06-15,CS RL LG TS 37,1000323060023291,527500
14172603,2023-06-16,CS RL LG TS 37,1000323060022634,1055000
14152219,2023-06-10,CS RL LG TS 37,1000323060021786,1055000
14160692,2023-06-13,CS RL LG TS 37,1000323060016707,1055000
14163742,2023-06-14,CS RL LG TS 37,1000323060018840,1055000
14162268,2023-06-13,CS RL LG TS 37,1000323060018823,1055000
14164367,2023-06-14,CS RL LG TS 37,1000323060018807,1055000
14165039,2023-06-14,CS RL LG TS 37,1000323060018599,1055000
14163922,2023-06-14,CS RL LG TS 37,1000323060018408,1055000
14162635,2023-06-13,CS RL LG TS 37,1000323060018254,791250
14160219,2023-06-13,CS RL LG TS 37,1000323060017771,791250
14158634,2023-06-12,CS RL LG TS 37,1000323060017711,1055000
14148173,2023-06-09,CS RL LG TS 37,1000323060017622,1055000
14153020,2023-06-10,CS RL LG TS 37,1000323060014097,1055000
14150538,2023-06-10,CS RL LG TS 37,1000323060013937,1055000
14136876,2023-06-05,CS RL LG TS 37,1000323060006043,1055000
14135977,2023-06-05,CS RL LG TS 37,1000323060005608,791250
14135422,2023-06-05,CS RL LG TS 37,1000323060005292,1055000
14134983,2023-06-05,CS RL LG TS 37,1000323060005217,1055000
14166804,2023-06-15,CS RL LG TS 37,1000323060029078,1055000
