lead_id,sent_date,score_range,price
14122374,2023-05-31,[630+],168000.0
14123532,2023-06-01,[630+],168000.0
14123924,2023-06-01,[630+],168000.0
14124104,2023-06-01,[630+],168000.0
14124323,2023-06-01,[630+],168000.0
14125487,2023-06-01,[630+],168000.0
14125716,2023-06-01,[630+],168000.0
14126058,2023-06-01,[630+],168000.0
14126914,2023-06-02,[630+],168000.0
14127520,2023-06-02,[630+],168000.0
14128214,2023-06-02,[630+],168000.0
14128925,2023-06-02,[630+],168000.0
14128942,2023-06-02,[630+],168000.0
14129545,2023-06-03,[630+],168000.0
14129598,2023-06-03,[630+],168000.0
14129627,2023-06-03,[630+],168000.0
14129699,2023-06-03,[630+],168000.0
14129723,2023-06-03,[630+],168000.0
14129726,2023-06-03,[630+],168000.0
14129819,2023-06-03,[630+],168000.0
14130268,2023-06-03,[630+],168000.0
14130277,2023-06-03,[630+],168000.0
14130418,2023-06-03,[630+],168000.0
14130587,2023-06-03,[630+],168000.0
14130656,2023-06-03,[630+],168000.0
14131413,2023-06-03,[630+],168000.0
14131884,2023-06-04,[630+],168000.0
14131999,2023-06-04,[630+],168000.0
14132745,2023-06-04,[630+],168000.0
14133890,2023-06-04,[630+],168000.0
14133956,2023-06-04,[630+],168000.0
14134521,2023-06-04,[630+],168000.0
14134837,2023-06-04,[630+],168000.0
14136164,2023-06-05,[630+],168000.0
14136265,2023-06-05,[630+],168000.0
14136323,2023-06-05,[630+],168000.0
14136549,2023-06-05,[630+],168000.0
14136723,2023-06-05,[630+],168000.0
14136749,2023-06-05,[630+],168000.0
14136886,2023-06-05,[630+],168000.0
14137367,2023-06-05,[630+],168000.0
14137546,2023-06-05,[630+],168000.0
14138000,2023-06-05,[630+],168000.0
14138132,2023-06-05,[630+],168000.0
14138301,2023-06-05,[630+],168000.0
14138552,2023-06-06,[630+],168000.0
14138743,2023-06-06,[630+],168000.0
14138874,2023-06-06,[630+],168000.0
14139389,2023-06-06,[630+],168000.0
14139500,2023-06-06,[630+],168000.0
14140307,2023-06-06,[630+],168000.0
14140631,2023-06-06,[630+],168000.0
14140782,2023-06-06,[630+],168000.0
14140986,2023-06-06,[630+],168000.0
14141123,2023-06-06,[630+],168000.0
14141248,2023-06-06,[630+],168000.0
14141655,2023-06-07,[630+],168000.0
14141934,2023-06-07,[630+],168000.0
14142342,2023-06-07,[630+],168000.0
14142448,2023-06-07,[630+],168000.0
14142688,2023-06-07,[630+],168000.0
14142699,2023-06-07,[630+],168000.0
14142755,2023-06-07,[630+],168000.0
14143469,2023-06-07,[630+],168000.0
14143795,2023-06-07,[630+],168000.0
14143959,2023-06-07,[630+],168000.0
14144311,2023-06-07,[630+],168000.0
14144817,2023-06-08,[630+],168000.0
14145850,2023-06-08,[630+],168000.0
14145895,2023-06-08,[630+],168000.0
14145178,2023-06-08,[630+],168000.0
14145257,2023-06-08,[630+],168000.0
14144889,2023-06-08,[630+],168000.0
14146958,2023-06-08,[630+],168000.0
14147072,2023-06-08,[630+],168000.0
14147444,2023-06-08,[630+],168000.0
14147472,2023-06-08,[630+],168000.0
14148266,2023-06-09,[630+],168000.0
14148464,2023-06-09,[630+],168000.0
14148677,2023-06-09,[630+],168000.0
14148993,2023-06-09,[630+],168000.0
14149037,2023-06-09,[630+],168000.0
14149200,2023-06-09,[630+],168000.0
14149329,2023-06-09,[630+],168000.0
14149360,2023-06-09,[630+],168000.0
14149574,2023-06-09,[630+],168000.0
14149754,2023-06-09,[630+],168000.0
14149989,2023-06-09,[630+],168000.0
14150340,2023-06-09,[630+],168000.0
14150356,2023-06-09,[630+],168000.0
14150967,2023-06-10,[630+],168000.0
14151662,2023-06-10,[630+],168000.0
14151765,2023-06-10,[630+],168000.0
14152115,2023-06-10,[630+],168000.0
14152499,2023-06-10,[630+],168000.0
14152582,2023-06-11,[630+],168000.0
14152743,2023-06-11,[630+],168000.0
14153043,2023-06-11,[630+],168000.0
14153209,2023-06-11,[630+],168000.0
14153266,2023-06-11,[630+],168000.0
14153481,2023-06-11,[630+],168000.0
14153942,2023-06-11,[630+],168000.0
14154012,2023-06-11,[630+],168000.0
14154224,2023-06-11,[630+],168000.0
14154781,2023-06-11,[630+],168000.0
14155003,2023-06-11,[630+],168000.0
14156148,2023-06-11,[630+],168000.0
14156378,2023-06-11,[630+],168000.0
14157605,2023-06-12,[630+],168000.0
14157679,2023-06-12,[630+],168000.0
14158197,2023-06-12,[630+],168000.0
14158627,2023-06-12,[630+],168000.0
14158820,2023-06-12,[630+],168000.0
14158854,2023-06-12,[630+],168000.0
14159052,2023-06-12,[630+],168000.0
14159151,2023-06-12,[630+],168000.0
14159167,2023-06-12,[630+],168000.0
14159344,2023-06-12,[630+],168000.0
14159538,2023-06-12,[630+],168000.0
14159607,2023-06-12,[630+],168000.0
14159612,2023-06-12,[630+],168000.0
14159633,2023-06-12,[630+],168000.0
14159667,2023-06-12,[630+],168000.0
14159705,2023-06-12,[630+],168000.0
14160017,2023-06-12,[630+],168000.0
14160093,2023-06-12,[630+],168000.0
14160113,2023-06-12,[630+],168000.0
14160127,2023-06-12,[630+],168000.0
14160177,2023-06-12,[630+],168000.0
14160370,2023-06-12,[630+],168000.0
14160402,2023-06-13,[630+],168000.0
14160621,2023-06-13,[630+],168000.0
14160913,2023-06-13,[630+],168000.0
14160921,2023-06-13,[630+],168000.0
14161022,2023-06-13,[630+],168000.0
14161087,2023-06-13,[630+],168000.0
14161088,2023-06-13,[630+],168000.0
14161168,2023-06-13,[630+],168000.0
14161311,2023-06-13,[630+],168000.0
14161519,2023-06-13,[630+],168000.0
14162248,2023-06-13,[630+],168000.0
14162281,2023-06-13,[630+],168000.0
14162293,2023-06-13,[630+],168000.0
14162294,2023-06-13,[630+],168000.0
14162387,2023-06-13,[630+],168000.0
14162458,2023-06-13,[630+],168000.0
14162652,2023-06-13,[630+],168000.0
14162793,2023-06-13,[630+],168000.0
14162840,2023-06-13,[630+],168000.0
14162856,2023-06-13,[630+],168000.0
14162935,2023-06-13,[630+],168000.0
14162961,2023-06-13,[630+],168000.0
14163040,2023-06-13,[630+],168000.0
14163148,2023-06-13,[630+],168000.0
14163497,2023-06-13,[630+],168000.0
14163598,2023-06-13,[630+],168000.0
14163610,2023-06-13,[630+],168000.0
14163635,2023-06-13,[630+],168000.0
14163671,2023-06-13,[630+],168000.0
14163782,2023-06-13,[630+],168000.0
14163856,2023-06-13,[630+],168000.0
14164385,2023-06-14,[630+],168000.0
14164673,2023-06-14,[630+],168000.0
14164770,2023-06-14,[630+],168000.0
14164998,2023-06-14,[630+],168000.0
14165062,2023-06-14,[630+],168000.0
14165222,2023-06-14,[630+],168000.0
14165357,2023-06-14,[630+],168000.0
14165408,2023-06-14,[630+],168000.0
14165524,2023-06-14,[630+],168000.0
14165605,2023-06-14,[630+],168000.0
14166001,2023-06-14,[630+],168000.0
14166032,2023-06-14,[630+],168000.0
14166175,2023-06-14,[630+],168000.0
14166433,2023-06-14,[630+],168000.0
14166508,2023-06-14,[630+],168000.0
