REPORT_DATE,PHONE_NUMBER,RECEIVED_DATE,SCORE_RANGE,TELCO_SOURCE,QUALIFIED_DATE,QUALIFIED,OLD_QUALIFIED,REASON,CHANGE_QUALIFIED_REASON,LEAD_ID,LOAN_AMOUNT,DISBURSED_DATE
2023-06-30,14122087,2023-05-31,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14122087,60000000,2023-06-13
2023-06-30,14122102,2023-05-31,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14122102,30000000,2023-06-05
2023-06-30,14122304,2023-05-31,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14122304,20000000,2023-06-07
2023-06-30,14122971,2023-06-01,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14122971,50000000,2023-06-27
2023-06-30,14122994,2023-06-01,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14122994,20000000,2023-06-13
2023-06-30,14123076,2023-06-01,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14123076,20000000,2023-06-19
2023-06-30,14123330,2023-06-01,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14123330,50000000,2023-06-14
2023-06-30,14123545,2023-06-01,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14123545,20000000,2023-06-08
2023-06-30,14123738,2023-06-01,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14123738,40000000,2023-06-07
2023-06-30,14123894,2023-06-01,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14123894,20000000,2023-06-05
2023-06-30,14124279,2023-06-01,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14124279,20000000,2023-06-27
2023-06-30,14125352,2023-06-01,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14125352,10000000,2023-06-08
2023-06-30,14126848,2023-06-02,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14126848,30000000,2023-06-13
2023-06-30,14128963,2023-06-02,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14128963,20000000,2023-06-13
2023-06-30,14129400,2023-06-03,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14129400,40000000,2023-06-19
2023-06-30,14129455,2023-06-03,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14129455,50000000,2023-06-13
2023-06-30,14130530,2023-06-03,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14130530,20000000,2023-06-13
2023-06-30,14130789,2023-06-03,[631-649],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14130789,30000000,2023-06-16
2023-06-30,14131843,2023-06-04,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14131843,50000000,2023-06-14
2023-06-30,14132185,2023-06-04,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14132185,20000000,2023-06-14
2023-06-30,14132784,2023-06-04,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14132784,40000000,2023-06-13
2023-06-30,14138560,2023-06-06,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14138560,30000000,2023-06-14
2023-06-30,14141780,2023-06-07,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14141780,30000000,2023-06-22
2023-06-30,14143806,2023-06-07,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14143806,20000000,2023-06-13
2023-06-30,14144757,2023-06-07,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14144757,10000000,2023-06-13
2023-06-30,14146143,2023-06-08,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14146143,20000000,2023-06-16
2023-06-30,14146688,2023-06-08,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14146688,10000000,2023-06-21
2023-06-30,14144946,2023-06-08,[631-649],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14144946,50000000,2023-06-21
2023-06-30,14148307,2023-06-09,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14148307,20000000,2023-06-14
2023-06-30,14148480,2023-06-09,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14148480,40000000,2023-06-15
2023-06-30,14151953,2023-06-10,[631-649],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14151953,12000000,2023-06-26
2023-06-30,14152657,2023-06-11,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14152657,20000000,2023-06-19
2023-06-30,14153518,2023-06-11,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14153518,40000000,2023-06-15
2023-06-30,14153991,2023-06-11,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14153991,60000000,2023-06-14
2023-06-30,14155165,2023-06-11,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14155165,50000000,2023-06-16
2023-06-30,14158966,2023-06-12,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14158966,20000000,2023-06-20
2023-06-30,14159156,2023-06-12,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14159156,30000000,2023-06-14
2023-06-30,14160483,2023-06-13,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14160483,40000000,2023-06-15
2023-06-30,14160498,2023-06-13,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14160498,12000000,2023-06-20
2023-06-30,14161893,2023-06-13,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14161893,60000000,2023-06-23
2023-06-30,14162756,2023-06-13,[631-649],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14162756,20000000,2023-06-22
2023-06-30,14163115,2023-06-13,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14163115,60000000,2023-06-20
2023-06-30,14164246,2023-06-14,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14164246,20000000,2023-06-16
2023-06-30,14164793,2023-06-14,[631-649],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14164793,40000000,2023-06-22
2023-06-30,14167856,2023-06-15,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14167856,20000000,2023-06-19
2023-06-30,14167944,2023-06-15,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14167944,40000000,2023-06-23
2023-06-30,14168249,2023-06-15,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14168249,10000000,2023-06-19
2023-06-30,14170044,2023-06-15,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14170044,20000000,2023-06-26
2023-06-30,14170827,2023-06-16,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14170827,30000000,2023-06-19
2023-06-30,14170875,2023-06-16,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14170875,60000000,2023-06-20
2023-06-30,14171324,2023-06-16,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14171324,20000000,2023-06-22
2023-06-30,14172123,2023-06-16,[631-649],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14172123,40000000,2023-06-26
2023-06-30,14175436,2023-06-17,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14175436,40000000,2023-06-23
2023-06-30,14176626,2023-06-18,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14176626,40000000,2023-06-23
2023-06-30,14179191,2023-06-18,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14179191,20000000,2023-06-28
2023-06-30,14181080,2023-06-19,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14181080,20000000,2023-06-23
2023-06-30,14182605,2023-06-20,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14182605,20000000,2023-06-26
2023-06-30,14183722,2023-06-20,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14183722,40000000,2023-06-22
